topology,seed,strategy,final_fake_count,efficiency,mean_fact_checker_budget
scale-free,25,adaptive,0,0.97185,0.0841584158415842
scale-free,26,baseline,0,0.97,0.25
scale-free,26,adaptive,0,0.9797,0.0768811881188119
scale-free,27,baseline,0,0.969425,0.25
scale-free,27,adaptive,0,0.9733,0.07896039603960398
scale-free,28,baseline,0,0.954725,0.25
scale-free,28,adaptive,0,0.972225,0.08386138613861392
scale-free,29,baseline,0,0.956725,0.25
scale-free,29,adaptive,0,0.976075,0.07881188118811883
random,0,baseline,13,0.8815999999999999,0.25
random,0,adaptive,0,0.977325,0.08193069306930699
random,1,baseline,0,0.8978,0.25
random,1,adaptive,0,0.979825,0.0762871287128713
random,2,baseline,4,0.920425,0.25
random,2,adaptive,2,0.968875,0.08306930693069307
random,3,baseline,0,0.928775,0.25
random,3,adaptive,0,0.972425,0.07985148514851488
random,4,baseline,138,0.46840000000000004,0.25
random,4,adaptive,0,0.976775,0.08044554455445548
random,5,baseline,46,0.7448250000000001,0.25
random,5,adaptive,0,0.981175,0.07524752475247527
random,6,baseline,142,0.40097499999999997,0.25
random,6,adaptive,1,0.9667,0.0853465346534654
random,7,baseline,27,0.8049999999999999,0.25
random,7,adaptive,0,0.97775,0.08059405940594062
random,8,baseline,0,0.91875,0.25
random,8,adaptive,0,0.97445,0.07925742574257429
random,9,baseline,12,0.897875,0.25
random,9,adaptive,0,0.975475,0.08103960396039608
random,10,baseline,91,0.7275750000000001,0.25
random,10,adaptive,0,0.976525,0.07673267326732675
random,11,baseline,14,0.86665,0.25
random,11,adaptive,0,0.977475,0.07792079207920793
random,12,baseline,60,0.693125,0.25
random,12,adaptive,1,0.9765,0.07480198019801981
random,13,baseline,0,0.94775,0.25
random,13,adaptive,0,0.978875,0.0728712871287129
random,14,baseline,1,0.935,0.25
random,14,adaptive,1,0.971175,0.08148514851485154
random,15,baseline,3,0.951525,0.25
random,15,adaptive,0,0.97595,0.07925742574257429
random,16,baseline,26,0.8216749999999999,0.25
random,16,adaptive,0,0.974325,0.08118811881188123
random,17,baseline,5,0.944175,0.25
random,17,adaptive,1,0.970475,0.08148514851485154
random,18,baseline,1,0.94805,0.25
random,18,adaptive,1,0.965425,0.08371287128712876
random,19,baseline,1,0.9572,0.25
random,19,adaptive,1,0.971425,0.08029702970297033
random,20,baseline,128,0.5389999999999999,0.25
random,20,adaptive,0,0.974825,0.07940594059405943
random,21,baseline,21,0.835025,0.25
random,21,adaptive,0,0.972725,0.08089108910891092
